date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:07	22035/22035	---M-Z	200	added ('OK')	text/html	etag:%2223953354f918518ea6d8d13f6e57ece7-ssl-df%22	https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/indexf965.html	(from )
22:13:07	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1649173839-ssl-df	https://eradicate-fibroid-cyst-tumor.netlify.app/robots.txt		(from )
22:13:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2021%20Jul%202023%2021:12:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/fibroid%20website/www.googletagmanager.com/gtm.05445.delayed	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:09	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%2227288-jtLWNQ0j+FfZKAVzfQ+XxnXeZms%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/fibroid%20website/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:09	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/fibroid%20website/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:11	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1649173839-ssl-df	https://eradicate-fibroid-cyst-tumor.netlify.app/blives.xyz/index.html	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/blives.xyz/index.3.delayed	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:12	18579/18579	---M-Z	200	added ('OK')	text/css	etag:%225cccde0a445c2e9cf0135a507087c821-ssl-df%22	https://eradicate-fibroid-cyst-tumor.netlify.app/boblives.css	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/boblives.css	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:14	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/fibroid%20website/code.jquery.com/jquery-3.5.1.min.js	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:18	63240/63240	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f708-DE6ERfbwyWEdwcE9xvCF60vKygs%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/fibroid%20website/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.min.js	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:19	22035/22035	---MCZ	200	added ('OK')	text/html	etag:%2223953354f918518ea6d8d13f6e57ece7-ssl-df%22	https://eradicate-fibroid-cyst-tumor.netlify.app/index.html	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/index.html	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:20	86508/86508	---M--	200	added ('OK')	image/png	etag:%22028427c284d3f51e2f27f159839dbebc-ssl%22	https://eradicate-fibroid-cyst-tumor.netlify.app/img/logogo.png	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/img/logogo.png	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:21	7820/7820	---MCZ	200	added ('OK')	text/html	etag:%22617a4a2fc865b6375dd1a905354deb8e-ssl-df%22	https://eradicate-fibroid-cyst-tumor.netlify.app/blog.html	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/blog.html	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:22	6524/6524	---MCZ	200	added ('OK')	text/html	etag:%22baadc75c3ead5c7262c0546536bc709b-ssl-df%22	https://eradicate-fibroid-cyst-tumor.netlify.app/about.html	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/about.html	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:23	11507/11507	---M--	200	added ('OK')	image/jpeg	etag:%22fd9ec9a9ffb7fdb2fa5d73518912b576-ssl%22	https://eradicate-fibroid-cyst-tumor.netlify.app/img/fstat.jpg	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/img/fstat.jpg	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:25	45281/45281	---M--	200	added ('OK')	image/jpeg	etag:%224df31d5b3c74d601c74aa2cafcb91867-ssl%22	https://eradicate-fibroid-cyst-tumor.netlify.app/img/wfibroid.jpeg	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/img/wfibroid.jpg	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:26	106577/106577	---M--	200	added ('OK')	image/jpeg	etag:%2298e712b12fe217d4910ae3e98fcc5e4e-ssl%22	https://eradicate-fibroid-cyst-tumor.netlify.app/img/fibrax.jpg	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/img/fibrax.jpg	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:26	18707/18707	---M--	200	added ('OK')	image/png	etag:%223817b4e6ef6071ad177da6c8dd18c72c-ssl%22	https://eradicate-fibroid-cyst-tumor.netlify.app/img/whatsapp.png	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/img/whatsapp.png	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
22:13:27	33102/33102	---M--	200	added ('OK')	image/jpeg	etag:%22cf9c40f71c546e7a3608e850782d369f-ssl%22	https://eradicate-fibroid-cyst-tumor.netlify.app/img/fib.jpg	C:/My%20Web%20Sites/fibroid%20website/eradicate-fibroid-cyst-tumor.netlify.app/img/fib.jpg	(from https://eradicate-fibroid-cyst-tumor.netlify.app/?gclid=EAIaIQobChMIxISr5IeegAMVWVBBAh0RVAf9EAAYASAAEgICAvD_BwE)
